Date,Open,High,Low,Close,Adj Close,Volume
2022-03-30,119.502419,119.962799,119.502419,119.990051,119.990051,0
2022-03-31,119.487701,119.487701,119.470238,119.962799,119.962799,0
2022-04-01,119.856697,120.075226,119.856697,119.470238,119.470238,0
2022-04-04,120.199120,120.199120,119.263695,120.213264,120.213264,0
2022-04-05,119.554337,119.554337,118.928871,119.263695,119.263695,0
2022-04-06,119.761734,119.761734,119.656769,118.928871,118.928871,0
2022-04-07,119.675957,119.931717,119.675957,119.656769,119.656769,0
2022-04-08,120.301598,120.301598,119.816940,119.931717,119.931717,0
2022-04-11,119.736061,120.096855,119.736061,119.816940,119.816940,0
2022-04-12,120.417152,120.417152,120.219955,120.096855,120.096855,0
2022-04-13,120.765671,120.765671,120.203644,120.219955,120.219955,0
2022-04-14,119.620041,120.258469,119.620041,120.203644,120.203644,0
2022-04-15,121.293640,121.293640,121.293640,120.258469,120.258469,0
2022-04-18,121.394150,121.394150,121.394150,121.293640,121.293640,0
2022-04-19,121.643616,121.643616,120.530716,121.394150,121.394150,0
2022-04-20,120.454239,120.803894,120.454239,120.530716,120.530716,0
2022-04-21,120.993942,120.993942,120.457138,120.803894,120.803894,0
2022-04-22,120.926689,120.926689,120.517822,120.938408,120.938408,0
2022-04-25,120.733131,120.960854,120.733131,120.915573,120.915573,0
2022-04-26,120.894341,121.088699,120.894341,120.960854,120.960854,0
2022-04-27,121.537529,121.537529,121.006363,121.088699,121.088699,0
2022-04-28,121.727951,121.727951,120.622665,121.006363,121.006363,0
2022-04-29,120.521149,120.639099,120.521149,120.622665,120.622665,0
2022-05-02,121.039513,121.039513,120.688278,120.639099,120.639099,0
2022-05-03,120.657890,121.099251,120.490479,120.688278,120.688278,0
2022-05-04,120.801842,120.801842,120.515160,120.490479,120.490479,0
2022-05-05,119.592613,120.534691,119.592613,120.515160,120.515160,0
2022-05-06,120.992622,121.178123,120.992622,120.534691,120.534691,0
2022-05-09,121.986206,122.442703,121.986206,121.178123,121.178123,0
2022-05-10,122.205544,122.205544,122.068588,122.442703,122.442703,0
2022-05-11,122.427895,122.427895,121.964462,122.068588,122.068588,0
2022-05-12,122.300568,122.300568,122.277351,121.964462,121.964462,0
2022-05-13,122.995399,122.995399,122.015556,122.277351,122.277351,0
2022-05-16,121.840324,122.533089,121.721062,122.015556,122.015556,0
2022-05-17,122.200371,122.200371,122.200371,122.533089,122.533089,0
2022-05-18,122.404930,122.404930,122.404930,122.200371,122.200371,0
2022-05-19,122.707382,122.707382,122.707382,122.404930,122.404930,0
2022-05-20,122.586288,122.586288,122.586288,122.707382,122.707382,0
2022-05-23,122.568329,122.568329,122.467026,122.586288,122.586288,0
2022-05-24,122.527283,122.657196,122.527283,122.467026,122.467026,0
